LocationID,ARPLatitude,ARPLongitude
'ADK,51-53-00.8954N,176-38-32.9277W
'AKK,56-56-19.2870N,154-10-57.2000W
'Z13,60-54-49.7150N,161-29-35.9850W
'KKI,60-54-28.3130N,161-26-06.2780W
'AKI,60-54-10.4300N,161-13-50.1000W
'KQA,54-08-02.0400N,165-46-42.1800W
'7AK,54-08-40.6000N,165-36-14.7900W
'AUK,62-40-59.0000N,164-43-19.9000W
'Z33,59-16-26.3210N,158-37-24.9210W
'5A8,59-16-57.2000N,158-37-04.3200W
'4AK7,59-16-51.3240N,158-35-49.9210W
'Z25,59-15-47.3250N,158-33-27.9190W
'6A8,66-33-06.6000N,152-37-19.8000W
'AFM,67-06-22.3282N,157-51-25.8151W
'80A,65-06-14.3350N,151-10-38.0400W
'AK81,57-28-17.3770N,153-48-55.2980W
'AKP,68-08-01.0000N,151-44-36.0000W
'AK00,59-47-48.0000N,151-51-48.0000W
'00AK,59-56-56.0000N,151-41-32.0000W
'2OK,61-12-45.7300N,149-49-35.7000W
'99AA,61-13-08.0600N,149-53-11.3300W
'A13,61-20-28.8200N,148-59-55.9700W
'CSR,61-09-31.3200N,149-46-50.2000W
'AK82,61-09-22.0700N,149-47-32.2800W
'3C3,61-07-59.0200N,149-56-30.8400W
'EDF,61-15-04.8715N,149-48-23.4924W
'AK91,61-14-07.3800N,149-44-57.3900W
'6AK5,61-10-06.0140N,150-09-37.9930W
'AK12,61-06-23.7600N,149-51-51.3700W
'LHD,61-10-53.9000N,149-57-59.4000W
'MRI,61-12-48.7622N,149-50-41.0069W
'AK38,61-11-20.5100N,149-49-18.5900W
'AA06,61-17-23.0000N,149-48-22.0000W
'9AK5,61-06-59.3300N,149-49-07.5700W
'ANC,61-10-26.9634N,149-59-53.4791W
'AA04,61-13-29.1900N,149-50-20.7400W
'AGN,57-30-12.7990N,134-35-06.3380W
'ANI,61-34-53.7000N,159-32-35.0000W
'ANN,55-02-32.2569N,131-34-15.2377W
'Z43,55-04-04.7720N,131-33-25.0370W
'ANV,62-38-50.4000N,160-11-24.2000W
'K40,62-39-22.4060N,160-12-19.6150W
'ARC,68-06-52.8100N,145-34-45.8950W
'AKA,52-13-14.1000N,174-12-22.3000W
'4A2,60-52-04.4000N,162-16-27.4000W
'ATK,70-28-01.6000N,157-26-08.4000W
'ATU,52-49-57.1500N,173-10-31.9950E
'BNF,57-05-19.7730N,134-49-59.3090W
'BRW,71-17-05.5000N,156-46-06.9000W
'BTI,70-06-47.2110N,143-39-12.9710W
'BQV,58-27-18.7480N,135-53-06.6120W
'Z47,64-40-44.7250N,165-17-57.1250W
'AK02,65-32-23.5920N,161-03-44.5600W
'Z48,63-34-17.7930N,156-08-38.5820W
'Z52,56-02-12.0680N,160-15-58.3390W
'WBQ,66-21-44.0000N,147-24-23.4000W
'KBE,55-55-44.6810N,131-34-18.0860W
'BLG,61-10-22.6628N,151-02-43.4987W
'Z59,60-46-55.2910N,161-44-35.2640W
'BET,60-46-42.8000N,161-50-13.8000W
'Z58,60-47-48.2930N,161-43-38.2670W
'BTT,66-54-50.2000N,151-31-44.6000W
'2A4,66-53-14.8000N,151-29-38.9000W
'D71,61-34-30.5000N,149-50-51.6000W
'BGQ,61-32-04.8600N,149-48-45.1600W
'6A7,61-28-54.6200N,149-46-23.6800W
'95AK,61-28-21.4300N,149-58-56.8900W
'68AK,61-30-59.6900N,149-55-51.8900W
'9AK7,61-35-23.3900N,149-48-59.9800W
'AA10,61-31-52.0700N,149-42-03.3800W
'08AK,61-34-10.7000N,149-43-27.9800W
'02AA,61-30-24.0000N,149-54-43.0000W
'86AK,61-33-05.1500N,149-56-44.7000W
'AA02,61-34-17.3300N,149-55-26.8000W
'L95,61-33-17.1800N,149-56-21.6100W
'AK86,61-34-24.7400N,149-54-40.8600W
'91AK,61-34-35.0000N,149-56-36.0000W
'63AK,61-35-03.5900N,149-56-17.1600W
'85AK,61-30-33.0000N,149-54-31.0000W
'20AK,61-30-13.6400N,149-53-45.7600W
'AA07,61-31-17.6700N,149-55-37.7000W
'AK87,61-30-53.5000N,149-55-44.4400W
'AK95,61-34-13.3200N,149-46-44.5400W
'09AK,61-35-21.7000N,149-50-50.4000W
'AA01,61-35-05.8600N,149-50-47.5100W
'37AK,59-21-40.4880N,155-15-31.7570W
'Z91,66-16-28.1000N,145-49-05.5000W
'BCV,61-24-57.5900N,149-30-32.1300W
'5BK,63-32-06.5270N,145-51-39.1900W
'AK97,60-25-23.0310N,146-08-45.2740W
'BYA,64-04-41.8900N,141-06-48.1500W
'KTS,65-19-52.8000N,166-27-56.6000W
'AK98,65-38-19.2190N,167-29-08.9050W
'BVK,65-58-53.6000N,161-08-56.9000W
'AK75,65-54-27.5690N,161-55-34.7010W
'TTW,63-23-28.3370N,148-57-20.2190W
'15AK,63-22-14.3400N,148-51-01.2100W
'CDE,56-00-07.6070N,134-08-07.2210W
'LUR,68-52-30.4600N,166-06-39.8950W
'EHM,58-38-53.3400N,162-03-49.6900W
'Z71,55-57-58.6440N,133-47-48.1960W
'CZF,61-46-51.6550N,166-02-22.4750W
'26AK,54-34-56.7520N,164-54-52.1310W
'CSP,58-11-56.6470N,136-38-19.7180W
'CEM,65-34-26.2000N,144-46-51.2000W
'CIK,66-38-42.1000N,143-44-23.6000W
'5CD,68-03-55.5820N,149-34-47.0610W
'WCR,67-30-16.2600N,148-28-59.6000W
'CYM,57-30-53.7780N,134-56-46.3740W
'CFK,60-08-12.5000N,164-16-44.6000W
'AK13,65-03-06.5720N,146-02-50.7550W
'C05,60-04-42.8200N,147-59-41.0450W
'VAK,61-32-27.0400N,165-36-03.2100W
'48AK,61-47-35.1200N,148-29-32.9860W
'CKX,64-04-00.3050N,141-57-04.8500W
'AJC,56-18-41.2655N,158-22-23.6575W
'Z78,56-17-44.1980N,158-24-05.3270W
'KCL,56-18-39.4800N,158-32-04.1500W
'A79,56-15-19.6450N,158-46-40.1950W
